From	To
P28482	hsa:5594
P07814	hsa:2058
Q9Y5P4	hsa:10087
Q15149	hsa:5339
Q03135	hsa:857
O75563	hsa:8935
P0DP23	hsa:801
P0DP23	hsa:805
P0DP23	hsa:808
P0DP24	hsa:801
P0DP24	hsa:805
P0DP24	hsa:808
P0DP25	hsa:801
P0DP25	hsa:805
P0DP25	hsa:808
P27361	hsa:5595
O00571	hsa:1654
P16333	hsa:4690
Q86VI3	hsa:128239
Q9NZM3	hsa:50618
P30041	hsa:9588
O00151	hsa:9124
Q8IZP0	hsa:10006
P10398	hsa:369
Q14157	hsa:9898
Q9UHR4	hsa:55971
P46821	hsa:4131
Q5TCQ9	hsa:260425
Q5T0N5	hsa:54874
Q8WWB7	hsa:112770
Q13177	hsa:5062
P12931	hsa:6714
P29353	hsa:6464
Q13480	hsa:2549
O43609	hsa:10252
Q5T6F2	hsa:55833
P35580	hsa:4628
Q7Z417	hsa:57532
Q9UNZ2	hsa:55968
Q14247	hsa:2017
Q9Y5V3	hsa:9500
Q9Y262	hsa:51386
Q9P266	hsa:57608
Q99569	hsa:8502
O75122	hsa:23122
Q6FI81	hsa:57019
P46940	hsa:8826
Q9HAU0	hsa:54477
O14828	hsa:10067
Q9C0C2	hsa:85456
Q96I24	hsa:8939
P61024	hsa:1163
O75369	hsa:2317
O75886	hsa:10254
Q15464	hsa:6461
Q14738	hsa:5528
O94885	hsa:23328
Q15056	hsa:7458
P42684	hsa:27
Q9H0B6	hsa:64837
P25685	hsa:3337
Q15052	hsa:9459
Q9NRY4	hsa:2909
Q9UJU6	hsa:28988
P07947	hsa:7525
P31942	hsa:3189
O14786	hsa:8829
Q92625	hsa:23294
Q16181	hsa:989
O95295	hsa:23557
Q9UPQ9	hsa:23112
Q9H7E9	hsa:65265
P49810	hsa:5664
Q07866	hsa:3831
Q13439	hsa:2803
P50552	hsa:7408
O95147	hsa:11072
P19174	hsa:5335
O15511	hsa:10092
Q7L8W6	hsa:89978
Q9NRX4	hsa:29085
P33240	hsa:1478
Q9UEU0	hsa:10490
P31946	hsa:7529
O43865	hsa:10768
Q9BYG5	hsa:84612
Q96JA1	hsa:26018
P25054	hsa:324
Q4VCS5	hsa:154796
Q93052	hsa:4026
Q9UKY7	hsa:55573
Q05655	hsa:5580
P62258	hsa:7531
Q92900	hsa:5976
Q9H792	hsa:79834
P28290	hsa:6744
Q9NZ32	hsa:55860
P41236	hsa:5504
Q7Z3E2	hsa:55088
Q08AD1	hsa:23271
Q68D51	hsa:163259
Q9Y5K6	hsa:23607
Q15759	hsa:5600
P56945	hsa:9564
Q6P1N0	hsa:54862
P62633	hsa:7555
Q8N3R9	hsa:64398
Q9NP73	hsa:79868
Q53EZ4	hsa:55165
O14639	hsa:3983
Q13043	hsa:6789
P0DMV8	hsa:3303
P0DMV8	hsa:3304
P0DMV9	hsa:3303
P0DMV9	hsa:3304
Q9NPH2	hsa:51477
P15880	hsa:6187
Q00526	hsa:1018
P15311	hsa:7430
Q5JSZ5	hsa:84726
P13797	hsa:5358
Q8N8Z6	hsa:285761
Q13561	hsa:10540
O43639	hsa:8440
Q9HB90	hsa:64121
Q92796	hsa:1741
Q8WXD9	hsa:57524
P68363	hsa:10376
Q9UPQ7	hsa:23024
P61978	hsa:3190
P15924	hsa:1832
P55196	hsa:4301
Q12929	hsa:2059
Q5VT25	hsa:8476
O75674	hsa:10040
O60716	hsa:1500
Q8NE71	hsa:23
Q01433	hsa:271
Q92574	hsa:7248
Q5T9S5	hsa:343099
Q9NYB9	hsa:10152
Q9BQE3	hsa:84790
Q5VSY0	hsa:80318
O14654	hsa:8471
Q05682	hsa:800
P24666	hsa:52
Q9HB71	hsa:27101
P46109	hsa:1399
P11274	hsa:613
Q13596	hsa:6642
Q99707	hsa:4548
Q9UJF2	hsa:9462
O95817	hsa:9531
Q16644	hsa:7867
Q96EK7	hsa:84498
Q9H4G0	hsa:2036
Q92615	hsa:23185
Q8TEP8	hsa:55125
O75665	hsa:8481
Q99497	hsa:11315
P23246	hsa:6421
P51149	hsa:7879
Q96AC1	hsa:10979
